Outlet,R_L_scale
realDailyWire,1
NRO,1
amconmag,1
infowars,1
BreitbartNews,1
nytimes,0
BuzzFeedNews,0
FoxNews,1
MSNBC,0
washingtonpost,0
CNN,0
NPR,0
CBS,0
voxdotcom,0
ABC,0
NBCNews,0
HuffPost,0
latimes,0
TheAtlantic,0
NewYorker,0
BBC,0
theblaze,1
guardian,0
Slate,0
MotherJones,0
